scenario,asset_id,name,timestamp,tmrt_mean_10m,utci_mean_10m,utci_category,feasibility_this_scenario,feasibility_phase2_baseline,feasibility_phase1_proxy,utci_delta_vs_baseline,decision_changed_vs_phase2_baseline
SENS_A_minus10pct,A20,Parque del Retiro,15:00,39.4,38.7,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.1,False
SENS_A_minus10pct,A21,Real Jardín Botánico de Madrid,15:00,38.4,38.4,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.0,False
SENS_A_minus10pct,A22,Palacio de Cristal,15:00,59.3,43.5,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.4,False
SENS_A_minus10pct,A23,Jardines de Cecilio Rodríguez,15:00,60.8,43.8,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.6,False
SENS_A_minus10pct,A24,La Rosaleda,15:00,64.0,44.6,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.4,False
SENS_A_minus10pct,A25,Jardín del Parterre,15:00,63.6,44.5,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.5,False
SENS_A_minus10pct,A26,Monumento a Alfonso XII,15:00,53.1,42.0,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.1,False
SENS_A_minus10pct,A27,Jardines del Arquitecto Herrero Palacios,15:00,57.5,43.0,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.5,False
SENS_A_minus10pct,A14,Puerta de Alcalá,18:00,50.0,42.5,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED,-0.2,False
SENS_A_minus10pct,A15,Fuente de Cibeles,18:00,54.5,43.5,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED,-0.7,False
